"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"5386","ENSMUSG00000002109.15",81,109,102,104,71,81,50,26
"5387","ENSMUSG00000027257.14",1129,1099,1632,2126,1508,1622,2754,2544
"5388","ENSMUSG00000027255.15",647,705,572,646,390,405,571,465
"5389","ENSMUSG00000040591.19",260,291,235,244,128,162,203,170
"5390","ENSMUSG00000081248.2",3,1,0,3,0,1,0,2
"5391","ENSMUSG00002076807.1",0,0,1,0,0,0,0,0
"5392","ENSMUSG00000027253.16",580,629,632,545,340,331,366,296
"5393","ENSMUSG00000081834.2",0,0,0,0,0,0,0,0
"5394","ENSMUSG00000040549.17",1800,2622,2282,2813,1233,1306,1407,1210
"5395","ENSMUSG00000077221.3",0,0,0,0,0,0,0,0
"5396","ENSMUSG00000027249.16",3,0,3,0,0,0,0,0
"5397","ENSMUSG00000083832.2",3,6,0,4,0,0,1,0
"5398","ENSMUSG00000075040.10",335,355,259,297,172,156,111,89
"5399","ENSMUSG00000027247.17",1272,1195,898,1080,478,494,393,384
"5400","ENSMUSG00000027244.15",917,929,700,757,535,540,1257,1086
"5401","ENSMUSG00000027243.9",111,129,92,116,64,74,114,107
"5402","ENSMUSG00000082457.2",3,1,0,1,1,0,0,2
"5403","ENSMUSG00000040506.17",924,916,718,921,506,533,549,470
"5404","ENSMUSG00000075036.2",0,0,0,0,0,1,1,0
"5405","ENSMUSG00000040495.5",0,1,1,0,2,0,0,0
"5406","ENSMUSG00000027239.15",555,488,453,497,290,295,23,13
"5407","ENSMUSG00000040479.13",2194,2636,1659,2133,1322,1235,1215,975
"5408","ENSMUSG00000098651.3",5,17,9,7,10,7,7,1
"5409","ENSMUSG00000095332.3",385,530,248,324,208,181,199,135
"5410","ENSMUSG00000027230.10",419,351,321,401,227,250,93,105
"5411","ENSMUSG00000087197.2",0,0,0,0,0,0,0,0
"5412","ENSMUSG00000087018.2",0,1,0,0,1,4,5,3
"5413","ENSMUSG00000058318.16",812,911,625,787,511,542,347,341
"5414","ENSMUSG00000088639.3",0,0,2,3,0,0,0,0
"5415","ENSMUSG00000083951.2",0,0,1,2,2,0,1,0
"5416","ENSMUSG00000081730.2",5,4,4,3,1,2,2,3
"5417","ENSMUSG00000040434.17",4,6,2,0,1,1,0,1
"5418","ENSMUSG00000027222.15",223,216,219,223,143,150,230,223
"5419","ENSMUSG00000044916.11",11,8,11,9,6,7,6,8
"5420","ENSMUSG00000027223.16",188,165,213,223,187,161,110,107
"5421","ENSMUSG00000099093.3",0,0,0,0,0,0,0,0
"5422","ENSMUSG00000068742.12",502,489,498,597,429,337,762,556
"5423","ENSMUSG00000084781.2",7,12,6,10,11,8,10,3
"5424","ENSMUSG00000049922.9",149,122,117,134,74,87,99,105
"5425","ENSMUSG00000085261.2",2,0,0,0,1,0,0,0
"5426","ENSMUSG00000085293.3",0,0,0,0,0,0,0,0
"5427","ENSMUSG00000080860.2",2,0,0,0,0,0,0,0
"5428","ENSMUSG00000099223.3",0,0,0,0,0,0,0,0
"5429","ENSMUSG00000098406.3",0,0,0,0,0,0,0,0
"5430","ENSMUSG00000027221.6",111,104,171,242,158,157,85,80
"5431","ENSMUSG00000085976.2",1,0,1,1,1,0,0,1
"5432","ENSMUSG00000086980.2",0,0,0,0,0,0,0,0
"5433","ENSMUSG00000082700.2",0,0,0,0,0,0,0,0
"5434","ENSMUSG00000027220.3",6,4,2,1,1,0,1,1
"5435","ENSMUSG00000075028.13",465,464,341,351,184,213,164,109
"5436","ENSMUSG00000075027.11",101,131,309,315,246,214,241,230
"5437","ENSMUSG00000087559.2",0,0,0,0,0,0,0,0
"5438","ENSMUSG00000068735.15",1279,1135,1440,1574,1190,1236,533,549
"5439","ENSMUSG00000027217.14",2066,1704,1778,1609,812,988,333,354
"5440","ENSMUSG00002075750.1",0,0,0,0,0,0,0,0
"5441","ENSMUSG00000085852.2",5,1,1,2,0,1,3,0
"5442","ENSMUSG00000027215.14",189,161,117,181,78,87,116,129
"5443","ENSMUSG00000099238.3",0,0,0,0,0,0,0,0
"5444","ENSMUSG00000075025.11",0,0,0,0,0,1,0,0
"5445","ENSMUSG00000040310.13",6,8,14,11,7,12,37,17
"5446","ENSMUSG00000027198.17",1034,998,899,1125,709,624,830,838
"5447","ENSMUSG00000081353.3",0,0,0,0,0,0,0,0
"5448","ENSMUSG00000040272.15",209,197,161,199,116,98,105,54
"5449","ENSMUSG00000075023.12",1,2,1,0,0,0,0,0
"5450","ENSMUSG00000083009.2",0,0,3,1,0,0,0,1
"5451","ENSMUSG00000087006.4",190,155,155,188,123,103,50,66
"5452","ENSMUSG00000098004.2",5,2,2,2,0,2,0,2
"5453","ENSMUSG00000027196.12",14,26,13,25,10,14,9,7
"5454","ENSMUSG00000040174.15",493,504,559,609,348,351,444,403
"5455","ENSMUSG00000027195.11",564,650,614,721,316,318,392,445
"5456","ENSMUSG00000075020.7",32,28,12,12,3,7,2,1
"5457","ENSMUSG00002075240.1",0,0,0,0,0,0,0,0
"5458","ENSMUSG00000065511.3",0,0,0,0,0,0,0,0
"5459","ENSMUSG00000106336.3",0,0,0,0,0,0,0,0
"5460","ENSMUSG00000076335.3",0,2,0,0,0,0,0,0
"5461","ENSMUSG00000027194.17",729,807,640,809,636,489,842,912
"5462","ENSMUSG00000081476.2",8,5,2,6,6,8,8,9
"5463","ENSMUSG00000045464.6",38,49,32,41,19,23,32,41
"5464","ENSMUSG00000027193.13",1310,1466,1139,1430,750,753,807,821
"5465","ENSMUSG00002076416.1",0,0,0,0,0,0,0,0
"5466","ENSMUSG00000083204.2",0,0,0,0,0,0,0,0
"5467","ENSMUSG00000077678.3",0,0,0,0,0,0,0,0
"5468","ENSMUSG00000087069.2",0,0,0,0,0,0,0,0
"5469","ENSMUSG00000119846.1",0,0,0,0,0,0,0,0
"5470","ENSMUSG00000084906.2",0,0,0,0,0,0,0,0
"5471","ENSMUSG00000081757.2",0,0,0,0,0,0,0,0
"5472","ENSMUSG00000083846.2",0,0,0,0,0,0,0,0
"5473","ENSMUSG00000087537.2",0,0,0,0,0,0,0,0
"5474","ENSMUSG00000104258.2",0,0,0,0,0,0,0,0
"5475","ENSMUSG00000082327.2",0,0,0,0,0,0,0,0
"5476","ENSMUSG00000050587.15",7,20,10,16,10,8,6,9
"5477","ENSMUSG00000091061.2",0,0,0,0,0,0,1,0
"5478","ENSMUSG00000091288.2",0,1,0,0,0,0,0,0
"5479","ENSMUSG00000090449.2",0,0,0,0,0,0,0,0
"5480","ENSMUSG00002076404.1",0,0,1,0,0,0,0,0
"5481","ENSMUSG00000088633.3",0,0,0,0,0,0,0,0
"5482","ENSMUSG00002076778.1",0,0,0,0,0,0,0,0
"5483","ENSMUSG00002076232.1",0,0,0,0,0,0,0,0
"5484","ENSMUSG00000082820.4",1,4,3,3,1,2,3,6
"5485","ENSMUSG00000080802.2",0,0,0,0,0,0,0,0
"5486","ENSMUSG00000082862.2",0,0,0,0,0,0,0,0
"5487","ENSMUSG00000075015.4",5,18,4,1,1,1,6,0
"5488","ENSMUSG00000075014.2",11,225,90,15,35,27,37,18
"5489","ENSMUSG00000101186.2",0,0,0,0,0,0,0,0
"5490","ENSMUSG00000084313.2",0,0,0,0,0,0,0,0
"5491","ENSMUSG00000082259.2",0,0,0,0,0,0,0,0
"5492","ENSMUSG00000084209.2",0,0,0,0,0,0,0,0
"5493","ENSMUSG00000082435.2",0,0,0,0,0,0,0,0
"5494","ENSMUSG00000094873.2",0,0,0,0,0,0,0,0
"5495","ENSMUSG00000095203.2",0,0,0,0,0,0,0,0
"5496","ENSMUSG00000027165.17",423,523,467,527,318,335,895,709
"5497","ENSMUSG00000093614.2",0,2,0,1,1,0,0,0
"5498","ENSMUSG00000032864.5",0,0,3,2,0,0,0,0
"5499","ENSMUSG00000061311.7",2,2,0,2,1,1,0,0
"5500","ENSMUSG00000027164.9",494,491,432,460,306,251,334,305
"5501","ENSMUSG00000032841.16",98,91,87,97,42,40,30,23
"5502","ENSMUSG00000087465.2",0,0,0,0,0,0,0,0
"5503","ENSMUSG00000027163.14",312,303,319,403,211,218,317,222
"5504","ENSMUSG00000048058.18",236,220,237,301,212,209,135,130
"5505","ENSMUSG00000085417.2",1,0,1,2,2,5,1,1
"5506","ENSMUSG00000085110.2",1,1,0,0,1,0,0,5
"5507","ENSMUSG00000082328.2",1,2,2,0,0,3,0,0
"5508","ENSMUSG00000081774.2",0,0,0,0,0,0,0,0
"5509","ENSMUSG00000027189.17",2605,3147,2027,2589,1349,1326,1496,1144
"5510","ENSMUSG00000083306.2",3,2,3,1,0,1,2,0
"5511","ENSMUSG00000075012.5",56,25,39,55,28,19,4,10
"5512","ENSMUSG00000027188.9",74,48,235,211,196,197,46,14
"5513","ENSMUSG00000005089.16",16,10,7,8,3,3,12,14
"5514","ENSMUSG00000087185.2",0,0,0,0,0,0,0,0
"5515","ENSMUSG00000005087.18",409,382,370,487,243,272,220,182
"5516","ENSMUSG00000119260.1",0,0,0,0,1,0,0,1
"5517","ENSMUSG00000010914.11",1429,1533,2001,1978,1510,1397,3430,3045
"5518","ENSMUSG00000010911.13",344,346,402,487,306,270,791,777
"5519","ENSMUSG00000058281.2",1,0,0,0,0,1,0,0
"5520","ENSMUSG00000087032.2",0,0,0,0,0,0,0,0
"5521","ENSMUSG00000086957.2",0,0,0,0,0,0,0,0
"5522","ENSMUSG00000084385.2",0,0,0,0,0,0,0,0
"5523","ENSMUSG00000012350.16",2,1,0,0,1,0,0,1
"5524","ENSMUSG00000087278.2",0,0,0,0,0,0,0,0
"5525","ENSMUSG00000102686.2",0,0,0,0,0,0,0,0
"5526","ENSMUSG00000070794.12",0,0,0,0,0,1,0,0
"5527","ENSMUSG00000027186.16",0,0,0,1,0,0,0,0
"5528","ENSMUSG00000027187.11",2664,2783,2426,2213,1733,1836,4104,3459
"5529","ENSMUSG00000081687.2",0,0,0,0,0,0,0,0
"5530","ENSMUSG00000032724.6",849,859,758,804,538,466,761,794
"5531","ENSMUSG00000027185.16",547,515,462,503,290,308,392,337
"5532","ENSMUSG00000027184.15",4902,5638,4485,5441,2908,2717,3776,2953
"5533","ENSMUSG00000086687.2",0,1,1,1,0,0,0,2
"5534","ENSMUSG00000081348.2",1,0,0,0,1,0,0,0
"5535","ENSMUSG00000081010.4",0,0,0,1,0,0,0,0
"5536","ENSMUSG00000083495.2",0,1,0,0,0,0,0,0
"5537","ENSMUSG00000081275.2",0,0,0,0,0,0,0,0
"5538","ENSMUSG00002074920.1",0,0,0,0,0,0,0,0
"5539","ENSMUSG00000082845.2",0,0,0,0,0,0,0,0
"5540","ENSMUSG00002075518.1",0,0,0,0,0,0,0,0
"5541","ENSMUSG00000083643.2",0,0,0,0,0,0,0,0
"5542","ENSMUSG00000084756.2",3,0,3,6,7,3,8,6
"5543","ENSMUSG00000032698.16",355,276,251,362,250,246,348,341
"5544","ENSMUSG00000046085.8",9,12,14,10,7,9,10,6
"5545","ENSMUSG00000027180.13",1390,1459,1309,1513,1114,1106,2210,1845
"5546","ENSMUSG00000087739.3",7,5,6,4,1,2,1,2
"5547","ENSMUSG00000078091.3",0,1,0,0,0,0,1,0
"5548","ENSMUSG00000075006.3",0,0,0,0,0,0,0,0
"5549","ENSMUSG00000068686.13",4,4,9,11,6,16,16,12
"5550","ENSMUSG00000032679.13",506,536,480,576,549,585,1493,1033
"5551","ENSMUSG00000032671.6",0,0,0,0,1,1,3,1
"5552","ENSMUSG00000068373.16",1,1,1,4,2,2,2,0
"5553","ENSMUSG00000089606.3",0,0,0,0,0,0,0,0
"5554","ENSMUSG00000087473.8",0,0,0,0,0,0,0,0
"5555","ENSMUSG00002076254.1",0,0,0,0,0,0,0,0
"5556","ENSMUSG00000081721.4",6,4,11,6,5,4,9,4
"5557","ENSMUSG00000027177.15",7875,9276,7277,8200,4626,4385,8420,6795
"5558","ENSMUSG00000084516.3",0,0,0,0,0,0,0,0
"5559","ENSMUSG00000081447.2",0,1,0,0,0,0,2,0
"5560","ENSMUSG00000082379.2",2,0,1,0,0,0,0,2
"5561","ENSMUSG00000086454.8",1,2,0,0,0,0,0,0
"5562","ENSMUSG00000118753.1",0,0,0,0,0,0,0,0
"5563","ENSMUSG00000082276.2",0,0,0,0,0,0,0,0
"5564","ENSMUSG00000027176.9",528,638,483,582,273,243,253,223
"5565","ENSMUSG00000027175.11",224,289,178,205,108,103,124,87
"5566","ENSMUSG00000074997.4",0,1,0,0,0,0,0,0
"5567","ENSMUSG00000027173.8",34,40,43,52,20,22,18,18
"5568","ENSMUSG00000074994.7",1296,1986,1467,1637,946,953,1884,1558
"5569","ENSMUSG00000083856.2",15,13,5,17,9,5,10,9
"5570","ENSMUSG00000027171.11",52,42,49,47,22,28,9,6
"5571","ENSMUSG00000045106.13",26,52,46,44,23,23,26,28
"5572","ENSMUSG00000082934.2",0,0,1,0,0,0,0,1
"5573","ENSMUSG00000027170.13",1115,1496,1324,1311,765,783,1104,1060
"5574","ENSMUSG00000083487.2",0,0,0,0,0,0,0,0
"5575","ENSMUSG00000074987.10",15,16,11,13,4,5,14,0
"5576","ENSMUSG00000079175.2",0,0,0,0,0,0,0,0
"5577","ENSMUSG00002076399.1",0,0,2,0,0,1,1,0
"5578","ENSMUSG00002076543.1",2,0,2,1,0,1,1,0
"5579","ENSMUSG00002076199.1",0,2,1,0,1,0,1,1
"5580","ENSMUSG00002075028.1",1,2,0,3,1,5,0,1
"5581","ENSMUSG00000016458.16",308,324,275,328,135,152,181,128
"5582","ENSMUSG00000055312.3",12,11,3,1,2,0,0,1
"5583","ENSMUSG00000005973.7",1458,1351,1116,1452,679,695,513,443
"5584","ENSMUSG00000086764.2",0,0,0,0,0,0,0,0
"5585","ENSMUSG00000086029.8",0,0,0,0,0,0,0,0
"5586","ENSMUSG00000081701.2",0,0,0,0,0,0,0,0
"5587","ENSMUSG00000080859.2",1,0,0,0,0,0,0,0
"5588","ENSMUSG00000102424.3",0,0,0,0,0,1,0,0
"5589","ENSMUSG00000027168.22",4,1,5,4,4,2,7,3
"5590","ENSMUSG00000027167.12",174,241,200,201,139,127,189,177
"5591","ENSMUSG00000084870.2",0,4,2,4,1,1,0,1
"5592","ENSMUSG00000042670.6",292,207,220,277,172,153,479,436
"5593","ENSMUSG00000027166.15",146,158,115,125,88,83,125,109
"5594","ENSMUSG00002076743.1",0,1,0,0,0,0,0,0
"5595","ENSMUSG00002076573.1",1,1,0,1,1,2,0,0
"5596","ENSMUSG00000074981.14",5,6,0,3,0,0,1,0
"5597","ENSMUSG00000083425.2",0,0,0,0,0,0,0,0
"5598","ENSMUSG00000100156.2",0,0,0,0,0,0,0,0
"5599","ENSMUSG00000081258.2",0,0,0,0,0,0,0,0
"5600","ENSMUSG00000087226.2",0,0,0,0,0,0,0,0
"5601","ENSMUSG00000087225.2",0,0,0,0,0,0,0,0
"5602","ENSMUSG00000085218.8",63,54,61,84,35,45,111,123
"5603","ENSMUSG00000016386.16",496,549,371,377,190,210,263,264
"5604","ENSMUSG00000105886.3",0,0,0,0,0,0,0,0
"5605","ENSMUSG00002076583.1",0,0,0,0,0,0,0,0
"5606","ENSMUSG00000085530.2",0,0,0,0,0,0,0,0
"5607","ENSMUSG00000084164.2",0,1,0,0,0,0,0,0
"5608","ENSMUSG00000027122.16",406,424,350,445,220,221,218,209
"5609","ENSMUSG00000081966.2",0,0,0,0,0,0,0,0
"5610","ENSMUSG00000082066.2",2,0,1,5,1,0,1,0
"5611","ENSMUSG00000027120.7",0,0,0,0,0,0,0,0
"5612","ENSMUSG00000089408.4",0,1,0,0,0,0,0,0
"5613","ENSMUSG00000083181.2",0,0,0,0,0,0,0,0
"5614","ENSMUSG00000042604.6",137,187,156,161,94,109,25,28
"5615","ENSMUSG00000052005.9",0,0,0,0,0,0,0,0
"5616","ENSMUSG00000118714.1",0,0,0,0,0,0,0,0
"5617","ENSMUSG00000077411.3",0,0,0,0,0,0,0,0
"5618","ENSMUSG00000086758.2",0,0,0,0,0,0,0,0
"5619","ENSMUSG00000083590.2",0,0,0,0,0,0,0,0
"5620","ENSMUSG00000082113.2",0,0,0,0,0,0,0,0
"5621","ENSMUSG00000083347.2",0,0,0,0,0,0,0,0
"5622","ENSMUSG00000083697.2",0,0,0,0,0,0,0,0
"5623","ENSMUSG00000083424.4",0,0,0,1,1,0,0,1
"5624","ENSMUSG00000063684.10",169,237,231,180,208,152,356,314
"5625","ENSMUSG00000087544.2",0,0,0,0,0,0,0,0
"5626","ENSMUSG00000057234.10",169,180,148,152,93,81,119,117
"5627","ENSMUSG00002074908.1",0,0,0,0,0,0,0,0
"5628","ENSMUSG00000027115.15",46,123,111,154,47,46,17,8
"5629","ENSMUSG00000084167.2",0,0,0,0,0,0,0,0
"5630","ENSMUSG00000081746.3",0,0,0,0,0,0,0,0
"5631","ENSMUSG00000109604.2",0,0,0,0,0,0,0,0
"5632","ENSMUSG00000093410.2",0,0,0,0,0,0,0,0
"5633","ENSMUSG00000048482.15",9,5,14,11,32,28,99,77
"5634","ENSMUSG00000083915.2",0,1,0,0,0,0,0,0
"5635","ENSMUSG00000027162.8",917,1249,1098,1312,786,815,1116,934
"5636","ENSMUSG00000063751.7",3,4,1,1,2,1,2,0
"5637","ENSMUSG00000050199.14",1542,1582,981,1100,631,660,770,790
"5638","ENSMUSG00000027160.17",323,481,388,546,229,293,91,73
"5639","ENSMUSG00000086186.2",1,1,1,0,0,1,0,0
"5640","ENSMUSG00000085444.2",0,1,0,1,0,0,0,0
"5641","ENSMUSG00000082512.2",1,1,0,1,0,0,0,0
"5642","ENSMUSG00000118908.1",0,0,0,0,0,0,0,0
"5643","ENSMUSG00000041660.9",0,1,1,0,2,0,0,0
"5644","ENSMUSG00000074971.5",104,64,161,212,170,110,194,82
"5645","ENSMUSG00000083320.2",2,0,0,0,0,0,0,0
"5646","ENSMUSG00000074970.2",0,0,0,0,0,0,0,0
"5647","ENSMUSG00000041644.15",0,0,0,0,0,0,0,0
"5648","ENSMUSG00000074968.12",6,8,36,17,26,15,7,12
"5649","ENSMUSG00000050808.14",2,1,2,1,2,0,0,1
"5650","ENSMUSG00000079171.4",0,0,0,0,0,0,0,0
"5651","ENSMUSG00000079170.4",0,0,0,0,0,0,0,0
"5652","ENSMUSG00000079169.4",0,0,0,0,0,0,0,0
"5653","ENSMUSG00000027157.11",0,0,0,0,0,0,0,0
"5654","ENSMUSG00000084094.2",1,4,2,0,0,1,1,1
"5655","ENSMUSG00000074966.6",0,0,0,0,0,0,0,0
"5656","ENSMUSG00000084933.2",0,0,0,0,0,0,0,0
"5657","ENSMUSG00000063844.6",0,0,0,0,0,0,0,0
"5658","ENSMUSG00000074965.6",0,0,0,0,0,0,0,0
"5659","ENSMUSG00000068647.3",0,0,0,0,0,0,0,0
"5660","ENSMUSG00000109813.3",3,0,1,0,0,0,0,0
"5661","ENSMUSG00000109449.4",0,0,0,0,0,0,0,0
"5662","ENSMUSG00000095156.3",0,0,0,0,0,0,0,0
"5663","ENSMUSG00000096554.2",0,0,0,0,0,0,0,0
"5664","ENSMUSG00000109322.3",0,0,0,0,0,0,0,0
"5665","ENSMUSG00000108931.3",0,0,0,0,0,0,0,0
"5666","ENSMUSG00000109521.4",0,0,0,0,0,0,0,0
"5667","ENSMUSG00000096703.4",0,0,0,0,0,0,0,0
"5668","ENSMUSG00000095586.2",0,0,0,0,0,0,0,0
"5669","ENSMUSG00000044039.5",0,0,0,0,0,0,0,0
"5670","ENSMUSG00000061195.9",0,0,0,0,0,0,0,0
"5671","ENSMUSG00000095809.4",0,0,0,0,0,0,0,0
"5672","ENSMUSG00000108891.5",0,0,0,0,0,0,0,0
"5673","ENSMUSG00000094074.2",0,0,0,0,0,0,0,0
"5674","ENSMUSG00000108908.5",0,0,0,0,0,0,0,0
"5675","ENSMUSG00000109287.2",0,0,0,0,0,0,0,0
"5676","ENSMUSG00000109547.3",0,0,0,0,0,0,0,0
"5677","ENSMUSG00000108919.4",0,0,0,0,0,0,0,0
"5678","ENSMUSG00000096690.2",0,0,0,0,0,0,0,0
"5679","ENSMUSG00000094858.4",0,0,0,0,0,0,0,0
"5680","ENSMUSG00000109487.4",0,0,0,0,0,0,0,0
"5681","ENSMUSG00000109219.3",0,0,0,0,0,0,0,0
"5682","ENSMUSG00000109071.2",0,0,0,0,0,0,0,0
"5683","ENSMUSG00000109389.2",0,0,0,0,0,0,0,0
"5684","ENSMUSG00000082091.2",0,0,0,0,0,0,0,0
"5685","ENSMUSG00000084134.2",0,0,0,0,0,0,0,0
"5686","ENSMUSG00000057149.5",0,0,0,0,0,0,0,0
"5687","ENSMUSG00000044560.4",0,0,0,0,0,0,0,0
"5688","ENSMUSG00000093804.4",0,0,0,0,0,0,0,0
"5689","ENSMUSG00000109423.2",0,0,0,0,0,0,0,0
"5690","ENSMUSG00000119226.1",0,0,0,0,0,0,0,0
"5691","ENSMUSG00000083059.4",0,0,0,0,0,0,0,0
"5692","ENSMUSG00000074955.4",0,0,0,0,0,0,0,0
"5693","ENSMUSG00000096566.3",0,0,0,0,0,0,0,0
"5694","ENSMUSG00000081069.2",0,0,0,0,0,0,0,0
"5695","ENSMUSG00000094747.4",0,0,0,0,0,0,0,0
"5696","ENSMUSG00000074952.4",0,0,0,0,0,0,0,0
"5697","ENSMUSG00000109528.3",0,0,0,0,0,0,0,0
"5698","ENSMUSG00000081037.4",0,0,0,0,0,0,0,0
"5699","ENSMUSG00000108827.4",0,0,0,0,0,0,0,0
"5700","ENSMUSG00000109403.3",0,0,0,0,0,0,0,0
"5701","ENSMUSG00000074947.4",0,0,0,0,0,0,0,0
"5702","ENSMUSG00000074946.6",0,0,0,0,0,0,0,0
"5703","ENSMUSG00000074945.4",1,0,0,0,0,0,0,0
"5704","ENSMUSG00000109033.3",0,0,0,0,0,0,0,0
"5705","ENSMUSG00000109801.3",0,0,0,0,0,0,0,0
"5706","ENSMUSG00000050776.4",0,0,0,0,0,0,0,0
"5707","ENSMUSG00000049758.8",0,0,1,1,0,0,0,0
"5708","ENSMUSG00000109522.2",0,0,0,0,0,0,0,0
"5709","ENSMUSG00000027134.5",69,74,90,96,47,60,37,38
"5710","ENSMUSG00000041358.2",0,0,0,0,0,0,0,0
"5711","ENSMUSG00000027133.4",426,503,416,491,296,379,369,425
"5712","ENSMUSG00000027130.16",619,838,686,746,499,486,588,543
"5713","ENSMUSG00000096764.2",0,0,0,0,0,0,0,0
"5714","ENSMUSG00000027131.4",474,527,435,469,315,338,510,492
"5715","ENSMUSG00000027132.4",153,136,156,184,95,97,116,90
"5716","ENSMUSG00000081541.2",1,2,1,1,1,1,0,0
"5717","ENSMUSG00000055943.6",691,707,712,773,455,452,929,933
"5718","ENSMUSG00002075416.1",0,0,0,0,0,0,0,0
"5719","ENSMUSG00000074939.4",0,0,1,0,0,0,0,0
"5720","ENSMUSG00000003604.15",274,248,266,311,195,212,367,276
"5721","ENSMUSG00000080622.3",0,0,0,0,0,0,0,0
"5722","ENSMUSG00002074904.1",1,0,0,0,0,0,0,0
"5723","ENSMUSG00000057378.16",200,40,29,25,20,24,56,44
"5724","ENSMUSG00000041255.3",0,0,0,0,0,1,0,0
"5725","ENSMUSG00000093660.3",0,0,0,0,0,0,0,0
"5726","ENSMUSG00000044042.20",1076,1373,1456,1522,1189,842,1498,1078
"5727","ENSMUSG00000084391.2",0,1,0,1,0,0,0,1
"5728","ENSMUSG00000085448.2",1,1,3,1,0,1,2,0
"5729","ENSMUSG00000087545.2",4,1,3,1,0,1,4,4
"5730","ENSMUSG00002075162.1",0,0,0,0,0,0,0,0
"5731","ENSMUSG00000087106.2",4,9,11,7,13,1,0,1
"5732","ENSMUSG00000084798.2",0,8,6,7,5,6,2,4
"5733","ENSMUSG00000074934.4",0,0,0,0,0,0,0,0
"5734","ENSMUSG00000023236.8",22,21,14,20,3,1,1,1
"5735","ENSMUSG00000041219.15",692,939,916,1266,315,492,57,43
"5736","ENSMUSG00000096006.2",6,2,4,3,4,1,0,2
"5737","ENSMUSG00000068615.5",1,0,0,0,0,0,0,0
"5738","ENSMUSG00000092201.8",61,120,52,87,62,136,163,216
"5739","ENSMUSG00000087694.9",0,0,0,0,0,0,0,0
"5740","ENSMUSG00000068614.8",173835,178558,162342,155830,94054,96547,203236,210347
"5741","ENSMUSG00000092397.8",1204,1367,1555,1782,1155,1078,2843,2391
"5742","ENSMUSG00000040383.17",846,1035,674,818,464,418,567,518
"5743","ENSMUSG00000098464.3",0,0,0,0,0,0,0,0
"5744","ENSMUSG00000040321.4",336,449,414,428,279,258,623,489
"5745","ENSMUSG00002075961.1",0,0,0,0,0,0,0,0
"5746","ENSMUSG00000101266.2",0,0,0,0,0,0,0,0
"5747","ENSMUSG00000057147.14",509,598,378,504,272,228,214,243
"5748","ENSMUSG00000084785.2",0,1,0,0,0,0,0,1
"5749","ENSMUSG00000082997.2",0,0,0,0,0,0,0,0
"5750","ENSMUSG00000085222.2",0,0,0,0,0,0,0,0
"5751","ENSMUSG00000101448.2",0,0,0,0,0,0,0,0
"5752","ENSMUSG00000099361.2",0,0,0,0,0,0,0,0
"5753","ENSMUSG00000084222.2",0,0,0,0,0,0,0,0
"5754","ENSMUSG00000099802.2",0,0,0,0,0,0,0,0
"5755","ENSMUSG00000087309.2",0,0,0,0,0,0,0,0
"5756","ENSMUSG00000086197.2",0,0,0,0,0,0,0,0
"5757","ENSMUSG00000085582.8",1,1,0,0,0,0,0,0
"5758","ENSMUSG00000086735.2",3,0,0,1,0,0,0,0
"5759","ENSMUSG00000040282.14",124,154,92,106,55,60,57,72
"5760","ENSMUSG00000088606.3",0,0,0,0,0,0,0,0
"5761","ENSMUSG00000027210.21",750,901,550,674,378,368,499,439
"5762","ENSMUSG00000086328.2",20,27,16,16,15,8,10,9
"5763","ENSMUSG00000086308.2",12,20,8,11,7,4,1,4
"5764","ENSMUSG00000103562.2",0,1,0,1,0,0,0,0
"5765","ENSMUSG00000081787.2",7,9,4,8,3,5,2,4
"5766","ENSMUSG00000086462.2",0,0,0,0,0,0,0,0
"5767","ENSMUSG00000027355.16",0,0,0,0,0,1,0,0
"5768","ENSMUSG00000085316.2",1,2,1,5,4,1,4,2
"5769","ENSMUSG00002076462.1",0,0,0,0,0,0,0,0
"5770","ENSMUSG00000065794.4",0,1,0,0,0,0,0,0
"5771","ENSMUSG00000099470.2",0,3,2,1,1,0,2,1
"5772","ENSMUSG00000074930.6",0,1,1,0,0,0,1,0
"5773","ENSMUSG00000027351.15",940,952,930,1221,653,642,584,601
"5774","ENSMUSG00000076376.3",1,0,1,2,0,0,1,0
"5775","ENSMUSG00000081842.2",0,0,0,0,0,0,0,0
"5776","ENSMUSG00000065845.3",0,0,0,0,1,0,0,0
"5777","ENSMUSG00000027349.6",532,637,480,585,332,389,436,397
"5778","ENSMUSG00000027347.19",6,8,6,8,2,7,5,7
"5779","ENSMUSG00000085681.2",0,0,0,0,0,0,0,0
"5780","ENSMUSG00000101394.2",0,0,0,0,0,0,0,0
"5781","ENSMUSG00000086203.2",0,0,0,0,0,0,0,0
"5782","ENSMUSG00000086221.2",0,0,0,0,0,0,0,0
"5783","ENSMUSG00000087203.8",0,1,0,3,1,1,0,0
"5784","ENSMUSG00000103266.2",0,0,0,0,0,0,0,0
"5785","ENSMUSG00000077359.3",0,0,0,0,0,0,0,0
"5786","ENSMUSG00000040152.9",654,589,761,797,575,781,126,201
"5787","ENSMUSG00000101859.2",0,1,1,0,1,0,0,0
"5788","ENSMUSG00000027344.15",2,0,1,0,0,1,0,0
"5789","ENSMUSG00002076765.1",0,0,0,0,0,0,0,0
"5790","ENSMUSG00000100046.2",0,0,0,0,0,0,0,0
