"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"95","ENSMUSG00000103819.2",0,0,0,0,0,0,0,0
"96","ENSMUSG00000102871.2",0,0,0,0,0,0,0,0
"97","ENSMUSG00000101571.3",0,0,0,0,1,0,0,0
"98","ENSMUSG00000104428.2",0,0,0,0,0,0,0,0
"99","ENSMUSG00000102272.2",0,0,0,0,0,0,0,0
"100","ENSMUSG00000065625.3",0,0,0,0,0,0,0,0
"101","ENSMUSG00000103411.2",0,1,1,0,0,0,3,1
"102","ENSMUSG00000061024.9",427,416,338,387,187,223,372,331
"103","ENSMUSG00000025911.15",530,555,407,363,189,194,980,637
"104","ENSMUSG00000079671.9",54,73,85,100,48,63,53,35
"105","ENSMUSG00000081441.4",4,1,3,1,0,1,7,1
"106","ENSMUSG00000067879.4",8,18,21,26,14,8,3,4
"107","ENSMUSG00000099827.2",0,0,0,0,0,0,0,0
"108","ENSMUSG00000025912.17",62,155,124,182,74,80,32,23
"109","ENSMUSG00000045210.9",554,864,667,793,439,471,586,434
"110","ENSMUSG00000097893.9",0,3,0,2,2,1,1,1
"111","ENSMUSG00000025915.15",346,360,290,412,205,200,309,244
"112","ENSMUSG00000046334.5",0,2,1,1,0,0,0,0
"113","ENSMUSG00002075801.1",0,0,0,0,1,0,0,0
"114","ENSMUSG00000046101.17",1,7,5,7,4,3,4,0
"115","ENSMUSG00000098234.8",98,85,60,78,45,38,33,34
"116","ENSMUSG00000093178.3",3,1,1,0,0,1,0,0
"117","ENSMUSG00000099032.3",24,11,18,29,20,8,8,5
"118","ENSMUSG00000104025.2",0,0,0,1,0,0,0,0
"119","ENSMUSG00000025916.11",0,5,1,1,1,3,8,5
"120","ENSMUSG00000087199.2",0,0,1,0,0,0,0,0
"121","ENSMUSG00000119658.1",0,0,0,0,0,0,0,0
"122","ENSMUSG00000025917.10",1285,1244,1078,1391,677,805,1050,954
"123","ENSMUSG00000056763.17",287,557,332,525,232,283,178,156
"124","ENSMUSG00000102356.2",0,1,0,2,0,0,0,0
"125","ENSMUSG00000067851.12",1473,1951,1566,1776,1210,1143,3336,3003
"126","ENSMUSG00002076532.1",0,2,3,1,0,0,1,0
"127","ENSMUSG00000102556.2",2,2,0,0,0,4,1,0
"128","ENSMUSG00000042501.13",1,1,0,0,0,0,0,0
"129","ENSMUSG00000103810.2",0,0,0,0,0,0,1,0
"130","ENSMUSG00000083422.2",3,0,0,0,0,0,0,0
"131","ENSMUSG00000119312.1",0,0,0,0,0,0,0,0
"132","ENSMUSG00000081417.2",0,0,0,1,0,0,0,0
"133","ENSMUSG00000103448.2",1,0,0,0,0,0,0,0
"134","ENSMUSG00000100212.2",0,0,0,0,0,0,0,0
"135","ENSMUSG00000100648.2",0,0,0,0,0,1,0,0
"136","ENSMUSG00002076499.1",0,0,0,0,0,0,0,0
"137","ENSMUSG00000048960.14",402,849,803,1031,833,670,1003,737
"138","ENSMUSG00000077318.3",0,0,0,0,0,0,0,0
"139","ENSMUSG00000101827.2",3,2,5,9,4,0,0,1
"140","ENSMUSG00000103494.2",0,0,0,0,0,0,0,0
"141","ENSMUSG00000057715.14",5,4,0,0,0,0,1,1
"142","ENSMUSG00000103825.2",0,0,0,0,1,0,0,0
"143","ENSMUSG00000099845.2",0,0,0,0,0,0,0,0
"144","ENSMUSG00000103561.2",0,0,0,0,0,0,0,0
"145","ENSMUSG00000101610.2",0,0,0,0,0,0,0,0
"146","ENSMUSG00000118923.1",0,0,0,0,0,0,0,0
"147","ENSMUSG00000098555.3",0,0,0,0,0,0,0,0
"148","ENSMUSG00000097628.2",4,5,2,2,2,1,2,3
"149","ENSMUSG00000098163.2",0,0,0,0,0,0,0,0
"150","ENSMUSG00000097171.2",0,0,0,0,0,0,0,0
"151","ENSMUSG00000101314.2",0,0,0,0,0,0,0,0
"152","ENSMUSG00000016918.16",1538,1434,1648,1898,904,866,765,567
"153","ENSMUSG00000025938.17",66,49,92,93,74,73,657,569
"154","ENSMUSG00000104518.2",0,0,0,0,0,0,0,0
"155","ENSMUSG00000069620.7",0,0,0,0,0,0,0,0
"156","ENSMUSG00000099498.2",0,0,0,0,0,0,0,0
"157","ENSMUSG00000042414.8",0,0,1,0,0,0,0,0
"158","ENSMUSG00000005886.15",1755,1958,1479,1766,1014,976,1521,1269
"159","ENSMUSG00000103506.2",3,7,5,2,0,9,2,2
"160","ENSMUSG00000103495.2",0,3,1,2,5,8,0,0
"161","ENSMUSG00002076346.1",0,1,0,0,1,0,0,0
"162","ENSMUSG00000102639.2",0,3,0,0,0,1,0,0
"163","ENSMUSG00000104170.2",2,4,2,1,3,5,2,0
"164","ENSMUSG00000087782.3",0,0,2,0,1,0,0,0
"165","ENSMUSG00000103085.2",9,16,7,12,6,8,3,4
"166","ENSMUSG00000102664.2",2,11,5,9,2,2,1,1
"167","ENSMUSG00000101476.2",1,0,2,1,0,0,0,0
"168","ENSMUSG00000101171.2",1,0,0,0,0,0,0,0
"169","ENSMUSG00000025935.11",1114,1047,1087,1230,764,731,877,851
"170","ENSMUSG00000025937.7",418,446,457,526,328,293,571,437
"171","ENSMUSG00000102982.2",6,13,4,9,4,4,3,4
"172","ENSMUSG00000067813.4",1,0,0,0,0,0,0,0
"173","ENSMUSG00000077368.3",0,0,0,0,0,0,0,0
"174","ENSMUSG00000097711.2",3,2,0,2,3,3,2,0
"175","ENSMUSG00000102166.2",0,0,0,0,0,0,0,0
"176","ENSMUSG00002075174.1",0,0,0,0,0,0,0,0
"177","ENSMUSG00000104209.2",0,0,0,0,0,0,0,0
"178","ENSMUSG00000025932.15",14,9,14,21,9,6,15,8
"179","ENSMUSG00002075819.1",0,0,0,0,0,0,0,0
"180","ENSMUSG00000102588.2",0,1,0,0,0,0,0,0
"181","ENSMUSG00000054493.3",5,9,17,14,10,3,6,2
"182","ENSMUSG00000025930.7",33,17,58,51,16,30,16,18
"183","ENSMUSG00000103492.2",1,1,3,3,2,1,2,0
"184","ENSMUSG00000081201.2",0,0,0,0,0,0,0,0
"185","ENSMUSG00000082193.2",5,10,1,4,6,5,0,1
"186","ENSMUSG00000032769.6",7,6,3,6,0,1,0,0
"187","ENSMUSG00000088159.3",0,0,0,0,0,0,0,0
"188","ENSMUSG00000073737.4",9,4,4,2,4,3,1,4
"189","ENSMUSG00000092083.5",4,4,2,5,1,4,1,0
"190","ENSMUSG00000102937.2",0,0,0,0,0,0,0,0
"191","ENSMUSG00000104149.2",0,0,0,0,0,1,0,0
"192","ENSMUSG00000088829.3",0,0,0,0,0,0,0,0
"193","ENSMUSG00000077377.3",0,0,0,0,0,0,0,0
"194","ENSMUSG00000101652.2",0,0,0,0,0,0,0,0
"195","ENSMUSG00000100814.2",0,0,0,0,0,0,0,0
"196","ENSMUSG00000025925.15",135,208,177,195,101,130,82,83
"197","ENSMUSG00000104379.2",1,3,1,5,2,3,3,1
"198","ENSMUSG00000032719.5",0,1,3,2,0,1,1,2
"199","ENSMUSG00002076565.1",0,0,0,0,0,0,0,0
"200","ENSMUSG00000100652.2",2,0,0,0,0,0,0,0
"201","ENSMUSG00000067795.14",1,0,2,0,0,0,1,0
"202","ENSMUSG00000043716.14",5252,4981,4118,4733,2502,2418,3447,3197
"203","ENSMUSG00000025921.8",178,156,126,156,103,102,121,141
"204","ENSMUSG00000104165.2",1,2,1,1,1,1,1,2
"205","ENSMUSG00000100868.2",13,5,4,10,5,6,6,2
"206","ENSMUSG00000025920.20",823,998,954,1135,758,671,1640,1414
"207","ENSMUSG00000089982.8",4,2,8,3,2,5,2,1
"208","ENSMUSG00000025939.20",406,498,319,415,278,272,386,308
"209","ENSMUSG00000102457.2",4,2,1,1,1,0,1,2
"210","ENSMUSG00000079658.10",907,1061,934,1011,613,611,900,826
"211","ENSMUSG00000097744.2",0,0,0,0,0,0,0,0
"212","ENSMUSG00000100959.2",0,0,0,0,0,0,0,0
"213","ENSMUSG00000025940.7",814,858,827,844,581,525,1545,1567
"214","ENSMUSG00000025779.11",21,43,35,36,32,35,45,29
"215","ENSMUSG00000100093.2",0,0,0,0,0,0,0,0
"216","ENSMUSG00000091020.4",7,20,12,14,8,9,15,10
"217","ENSMUSG00000101640.2",0,0,0,0,0,0,0,0
"218","ENSMUSG00000104133.2",0,0,0,0,0,0,0,0
"219","ENSMUSG00000042686.6",282,282,211,280,202,195,621,493
"220","ENSMUSG00000100110.2",0,0,0,0,0,0,0,0
"221","ENSMUSG00000025777.9",4,4,1,3,0,2,2,0
"222","ENSMUSG00000099899.2",0,0,0,0,0,0,0,0
"223","ENSMUSG00000100272.2",0,0,0,0,0,0,0,0
"224","ENSMUSG00000100398.2",0,0,0,0,0,0,0,0
